Abiogenezė;procesas, kurio metu žemės planetoje iš negyvos medžiagos atsirado gyvybė
Absoliutizmas;aukščiausios valdžios priklausymas vienam asmeniui
Agnosticizmas;požiūris, kad asmuo privalo susilaikyti ir nuo tikėjimo, ir nuo netikėjimo tam tikrais dalykais, remdamasis tuo, kad nei vieno, nei antro neįmanoma patvirtinti esamais įrodymais
Aktyvizmas;sąmoningas veiksmas, kurio tikslas yra socialinis ar politinis pokytis
Altruizmas;
Anarchizmas;politinė filosofija, teigianti, kad hierarchinės valdymo formos yra nereikalingos
Antisemitizmas;priešiškumas ar išankstinis nusistatymas nukreiptas prieš žydus kaip tautinę, religinę ar rasinę grupę.
Antropinis principas;įsitikinimas, kad gamtos konstantos yra pritaikytos gyvybės atsiradimui ir lėmė tai, kad mes tam tikru metu gyvename tam tikroje visatos vietoje.
Antropocentrizmas;pasaulėžiūra, teigianti, jog žmogus yra reikšmingiausia būtybė visatoje
Aristokratija;labiausiai privilegijuota bet kurio socialinio sluoksnio ar luomo viršūnė
Ateitis;
Ateizmas; griežtas tvirtinimas, kuriuo neigiamas antgamtinių subjektų arba institucijų buvimas
Autonomija;savivalda kitaip
Bausmės;valdžios taikomos sankcijos už įstatymų nevykdymą
Bioetika;
Biologija;gyvybės mokslas
Biologinė įvairovė;milžiniškos žemėje gyvuojančių skirtingų būtybių ir sistemų gausos apibūdinimas
Budizmas;viena iš didžiausių pasaulio religijų, kurios pradininku yra laikomas sidharta gautama
Civilizacija;tam tikra tautos, kuri yra pasiekusi gana aukštą kultūros, technologijų ir visuomenės organizacinės struktūros išsivystymo lygį, būsena
Daoizmas (taosizmas);kinijos filosofinės minties tradicija, kurios įkūrėjas yra lao dzė
Daugiakultūriškumas;idėja, kuria siekiama skatinti socialinę sanglaudą ir harmoniją tarp skirtingos etninės, religinės ir kultūrinės tapatybės žmonių, jiems išlaikant savo skirtingumą
Demokratija;politinė filosofija, kurios pagrindas yra žmonių valdžia
Deontologija;etikos teorija, teigianti, kad tam tikri poelgiai yra savaime blogi, nors jų pasekmės ir geros, ir net jeigu tokių veiksmų pasekmės yra moraliai privalomos
Didžiojo sprogimo kosmologija;plačiausiai žinoma kosmologijos teorija apie visatos kilmędirbtinis intelektas;protingų mašinų kūrimo mokslas ir inžinerija
Egoizmas;
Egzistencializmas;
Ekonomika;socialinis mokslas, kurio pavadinimas išvertus iš graikų kalbos reiškia „namų teisė“
Eksperimentinė  filosofija;
Epistemologija;
Estetika;
Etika;
Etikos istorija;
Etnocentrizmas;
Eutanazija;
Evoliucija;procesas, kurio metu gyvosios gamtos objektai keičiasi paveldėjimo būdu
Falsifikacija;
Fašizmas;autoritarizmu ir nacionalizmu paremta politinė srovė
Feminizmas;politinių, socialinių ir kultūrinių judėjimų derinys, kurių tikslas - ginti moterų interesus visuomenėje
Fundamentalizmas;kokios nors tiesos supratimas griežtai paremtas jos fundamentinėmis idėjomis, ir bekompromisinis jų laikymasis bei taikymas
Gamtos mokslai;
Globalizacija;procesas, kuriam vykstant atskiros pasaulio valstybės tampa vis labiau priklausomos viena nuo kitos
Gyvūnų teisės;
Hinduizmas ir brahmanizmas;senovinė indijos religija
Humanizmas;
Internetas;pasaulinis kompiuterių tinklas
Intuityvizmas;
Iracionalizmas;
Islamas;monoteistinė religija, kuri turi dvi didžiausias atšakas: šiitus ir sunitus
Istorija;praeities įvykiai arba praeities įvykių tyrinėjimas
Judaizmas;seniausia pasaulyje monoteistinė religija, kurios išpažinėjų šventasis raštas vadinamas tora
Juodoji galia;politinis judėjimas, kuris xx a. 7 deš. kilo jav ir kurio tikslas buvo užtikrinti ir ginti juodaodžių amerikiečių teises
Juodoji sąmonė;par apartheido metu veikęs judėjimas, įkvėptas „juodosios galios“ judėjimo
Juodosios skylės;
Kapitalizmas;ekonominė sistema, kurioje gamybos priemonės yra privati nuosavybė, pastangas motyvuoja pelnas, o darbuotojams mokamas užmokestis
Karas;ginkluotas konfliktas tarp organizuotų subjektų
Karo nusikaltimai;niurnbergo tribunolo chartija apibrėžė dvi iki šiol svarbias sąvokas: nusikaltimai prieš žmoniją ir ...
Katalikybė;po didžiosios schizmos atsiradusi krikščionybės šaka, kurios išpažinėjai pripažįsta romos popiežių
Klaidingas neformaliosios logikos argumentavimas;
Klasės;žmonių grupės, turinčios tokį patį socialinį statusą visuomenėje
Klonavimas;
Kognityviniai mokslai;
Kognityvinė terapija;
Komunizmas;galutinis pagal marksizmo dialektiką sumodeliuotos istorijos etapas
Kreacionizmas;teorija, kad pasaulį sukūrė dievybė
Krikščionybė;monoteistinė religija, grindžiama jėzaus kristaus gyvenimu ir mokymu, perteiktais naujajame testamente.
Kvantinė mechanika;
Laikmečio dvasia (zeitgeist);populiariausios idėjos, kurios gali apibūdinti tam tikro laikotarpio visuomenę
Laisvė;radikaliausia x gynimo forma yra liberalizmas. kas yra x?
Liberalizmas;politinė teorija, kurios viena svarbiausių savybių yra pilietinių laisvių įteisinimas ir apsauga bei nuosaikių konstitucinių priemonių taikymas
Logika;samprotavimų ir argumentų mokslas
Lygybė;siektinas idealas, kurio pagrindas yra teiginys, jog nėra tokio bruožo, kuris suteiktų asmeniui ar grupei viršenybę kitų asmenų ar grupių atžvilgiu
Marksizmas;k. markso ir f. engelso sukurta politinė ideologija, kurios pagrindą sudaro ekonominių santykių teorija
Meilė;
Metafizika;
Nacionalizmas;politinė ideologija, kuri teigia, kad natūralus politinis vienetas yra „nacija“
Naujasis konservatizmas;politinė srovė, kuri atsirado jav xx a. 7 deš., „kairiųjų“ pažiūrų intelektualams „perbėgus“ į „dešinę“
Neuromokslai;
Pasekmizmas (konsekvencializmas);
Politika;bendro žmonių gyvenimo visuomenėje organizavimo ir nuolatinio reguliavimo veikla
Pomirtinis gyvenimas;
Postmodernizmas;
Prasmės teorija;
Prisitaikymo teorija;
Privatumas;
Protestantizmas;krikščioniškosios denominacijos, kurios susikūrė po reformacijos xvi a.
Psichoanalizė;
Psichologija;mokslas, tiriantis psichinius reiškinius, jų kilmę, raidą, reiškimosi formas ir mechanizmus
Rasizmas;diskriminacija, neapykanta, nepasitikėjimas ir fanatiškos nuostatos kitų žmonių atžvilgiu dėl jų odos spalvos ar kitokių skiriamųjų išvaizdos bruožų.
Reklama;
Reliatyvizmas;
Reliatyvumas;
Religija;su antgamtiniu subjektu ar subjektais susijusių įsitikinimų bei iš šių įsitikinimų kylančių praktinių veiksmų visuma
Romantizmas;
Sekuliarumas;religijos ir valstybės reikalų atskyrimas
Socializmas;politinių teorijų, besilaikančių nuostatos, kad  gamybos priemonės turi būti valstybės nuosavybė, visuma
Sociobiologija;
Stačiatikybė;po didžiosios schizmos atsiradusi krikščionybės šaka, dar vadinama ortodoksine krikščionybe
Suvakarietinimas (vesternizacija);vakarų įtakos augimas nevakarietiškose šalyse
Sąmonės filosofija;
Tapatybė;
Teisingumas;teisingų dalykų įgyvendinimas
Teisė;priemonių visuma, teisingumui visuomenėje nustatyti ir užtikrinti
Totalitarizmas;rėžimas, kuris remiasi visų visuomenės gyvenimo sričių kontrole
Vartotojiškumas;
Vergovė;
Verslo etika;
Švietimas;
Šviečiamasis amžius;xviii a. europoje ir šiaurės amerikoje kilęs minties judėjimas, kuris pabrėžė pasitikėjimą protu, skatino mokslą bei priešinosi absoliutinei monarchijai, organizuotai religijai ir prietarams
Žaidimų teorija;
Žmogaus teisės;
Žodžio laisvė;laisvė skleisti savo mintis be cenzūros